STUDY,n,mean_ARR_preRTX,SD.1,mean_ARR_postRTX,SD.2
"Albassam et al., 2020",12,3.05,1.95,0.48,0.54
"Armangue et al., 2020",8,0.9325,0.550733277,0.125,0.353553391
"Ciotti et al., 2020",9,2.011111111,1.7800593,0.977777778,1.747696897
"Cobo Calvo et al., 2019",26,1.08,0.98,0.43,0.89
"Durozard et al., 2020",13,1.03,0.82,0.56,0.88
"Hacohen et al., 2018",9,2.12,2.09907387,0.67,0.758470684
"James et al., 2020",3,1.973333333,1.640162594,0,0
"Jarius et al., 2016",8,2.235714286,2.090995434,1.125,1.457737974
"Mao et al., 2019",7,3.071428571,2.802560904,0.157142857,0.41576092
"Ramanathan et al., 2018",6,1.716666667,1.205266222,0.453333333,0.484589173
"Whittam et al., 2020",51,2.23,2.111111111,0.483333333,0.755555556
"Zhou et al., 2019",7,1.341666667,0.750397672,0.544,0.939643549
"Jelcic et al., 2019",2,4.865,5.282087655,1.95,1.202081528
"Inan et al., 2020",6,0.88,1.19,0.94,0.95